@835c3fdc-44f9-46ef-b40b-0734462789b0_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@3a9860cf-838a-49ce-91e0-16b4543b5f77_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@382b7c33-6d02-46e4-811b-f0f4bbabeec0_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@28b25528-4953-469c-92bc-fb0d1e95c1b9_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@d31f28e9-fc06-40f9-bc9c-a0282e33bc69_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@a83783a8-db80-4a33-8cd7-4d59a2a7ce56_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@f571944d-31c7-40a5-9ba0-0c0e0ce9c825_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@91b53f9e-5c58-432b-ad3f-480893bb03d3_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@a0971932-4210-41e8-ac1f-39952fb92d8e_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@87aadfba-cf76-4c9c-adf7-dcd5a66ff59b_c9d44752_1_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@31d19eae-6019-4a56-b43e-11634b327bbf_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@f6f34946-52bf-46b0-86c1-0b922dcd015c_c9d44752_1_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@a29d19f6-91e7-40e9-9636-4f22876ce1ca_c9d44752_1_trimmed_filtered	End of SSU sequence not found; The 5.8S sequence was not found at all
@786ccab0-ff1d-4fc9-a865-5f3a83aade1c_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@ef25a075-9ec4-4a59-8ecc-8dfacd390da9_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@ee029ec6-4729-4b4a-948c-5c32c6229eed_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@1d66f11d-deaa-44eb-9f86-7ac7ca641243_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@41041528-7318-4b75-8df3-91ce379b4d79_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; ITS region is suspiciously long (> 1500 bp)
@c3c2be8e-0f64-4cb8-bef3-04ceee646fe4_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@52c421c7-3d74-4c3f-836e-f3a8dafc364c_c9d44752_1_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@43fbf8c1-273d-4ac8-850d-cc6090dc3414_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@a2785f0a-ca41-4a21-9d7e-901af540f8b7_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@0fc4a057-8d8c-4f96-bd89-9c5185ac61fe_c9d44752_1_trimmed_filtered	Start of LSU sequence not found; End of 5.8S sequence not found
@c3031715-4c7f-4a3f-aad7-1dc28765aea9_c9d44752_1_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@513e1ccf-70a9-490b-879c-40086d9dabc8_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@994c471c-c5d0-4661-9009-01e024c6afae_c9d44752_2_trimmed_filtered	End of SSU sequence not found; Start of 5.8S sequence not found
@9e865f95-d2b6-478c-bd5c-3ec04cf655c5_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@7cfcde71-0831-4e27-b26c-ae692c77016a_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@4017cb5e-fcf6-4f27-a6b0-17f7e7dc5633_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@0d58eb6f-3ec8-4966-8dfa-68fd7e41b780_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@c0c893a8-9da7-4238-938d-70dd57524166_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@a21cd2ec-02ca-42a2-a4d7-048259004111_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all
@66d444c3-72da-4eee-8fc2-7a02de2c7e91_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
@791bff75-eeb3-4c2a-ba72-09f3a045bd9c_c9d44752_2_trimmed_filtered	Start of LSU sequence not found; The 5.8S sequence was not found at all; No ITS1 sequence; No ITS2 sequence
